region,ranking,deferred,saved,score
out,total,0.24,0.76,0.014140936297872215
out,total,0.26,0.74,0.013481835964847243
out,total,0.28,0.72,0.012782867517113654
out,total,0.3,0.7,0.012100901950046114
out,total,0.32,0.68,0.011420076699352317
out,total,0.34,0.66,0.010846891137835215
out,total,0.36,0.64,0.010278656869565089
out,total,0.38,0.62,0.009790087089731602
out,total,0.4,0.6,0.00922266120073993
out,total,0.42,0.58,0.008754771128584518
out,total,0.44,0.56,0.00828743486771495
out,total,0.46,0.54,0.007783281687326441
out,total,0.48,0.52,0.007275551470860209
out,total,0.5,0.5,0.006805058484736256
out,total,0.52,0.48,0.006333904246068358
out,total,0.54,0.46,0.005928678209065583
out,total,0.56,0.44,0.0055836180925068445
out,total,0.58,0.42,0.005259556279370856
out,total,0.6,0.4,0.004932615768732551
out,total,0.62,0.38,0.0045261269657723285
out,total,0.64,0.36,0.004182766767807482
out,total,0.66,0.34,0.0038728722312672366
out,total,0.68,0.32,0.003557835950046157
out,total,0.7,0.3,0.003248458982423588
out,total,0.72,0.28,0.002990072560591952
out,total,0.74,0.26,0.0027026773117483
out,total,0.76,0.24,0.002438429750231184
out,total,0.78,0.22,0.002181875905642846
out,total,0.8,0.2,0.0019178056651248106
out,total,0.82,0.18,0.0016654994856613579
out,total,0.84,0.16,0.001447854334875035
out,total,0.86,0.14,0.0012154438926918686
out,total,0.88,0.12,0.0010152978297871896
out,total,0.9,0.1,0.0008281948640147736
out,total,0.92,0.08,0.0006500180592044319
out,total,0.94,0.06,0.00047197073080480935
out,total,0.96,0.04,0.0003135808584643972
out,total,0.98,0.02,0.00014528226827012074
out,total,1.0,0.0,0.0
out,random,0.0,1.0,0.026210917047178532
out,random,0.02,0.98,0.025685612434708602
out,random,0.04,0.96,0.025164934054283064
out,random,0.06,0.94,0.024638173295097127
out,random,0.08,0.92,0.02410548298593895
out,random,0.1,0.9,0.023579656149380197
out,random,0.12,0.88,0.023063311329546712
out,random,0.14,0.86,0.022534784763811287
out,random,0.16,0.84,0.022018900983977793
out,random,0.18,0.82,0.021488331694505085
out,random,0.2,0.8,0.020945567490286768
out,random,0.22,0.78,0.02041421408991674
out,random,0.24,0.76,0.019887829494135062
out,random,0.26,0.74,0.019363499469750224
out,random,0.28,0.72,0.018824701543533762
out,random,0.3,0.7,0.018284863263163732
out,random,0.32,0.68,0.017759965363848287
out,random,0.34,0.66,0.017241939941905635
out,random,0.36,0.64,0.01673264883700277
out,random,0.38,0.62,0.016211694913598505
out,random,0.4,0.6,0.015696827204625334
out,random,0.42,0.58,0.015177466844625334
out,random,0.44,0.56,0.01466597427174837
out,random,0.46,0.54,0.014146388342941709
out,random,0.48,0.52,0.013630856494468081
out,random,0.5,0.5,0.013104425674856608
out,random,0.52,0.48,0.01257446162686401
out,random,0.54,0.46,0.012051393900129506
out,random,0.56,0.44,0.011539242508603144
out,random,0.58,0.42,0.01101669217391304
out,random,0.6,0.4,0.01049188086386679
out,random,0.62,0.38,0.009978215078371875
out,random,0.64,0.36,0.009445738682072154
out,random,0.66,0.34,0.00893005815652174
out,random,0.68,0.32,0.008399682948159112
out,random,0.7,0.3,0.007872002033931545
out,random,0.72,0.28,0.007350780653432005
out,random,0.74,0.26,0.006815733038001853
out,random,0.76,0.24,0.006283461669084182
out,random,0.78,0.22,0.005741036198630895
out,random,0.8,0.2,0.005211029105753931
out,random,0.82,0.18,0.004704326256170215
out,random,0.84,0.16,0.004175709009250696
out,random,0.86,0.14,0.003659689515485664
out,random,0.88,0.12,0.0031326986748566187
out,random,0.9,0.1,0.0026142962248288672
out,random,0.92,0.08,0.002079551882331178
out,random,0.94,0.06,0.0015680355258464388
out,random,0.96,0.04,0.0010484923058279385
out,random,0.98,0.02,0.0005238261471600386
out,random,1.0,0.0,0.0
out,oracle,0.0,1.0,0.02621091704717844
out,oracle,0.02,0.98,0.02332171968732645
out,oracle,0.04,0.96,0.02104482287696567
out,oracle,0.06,0.94,0.019131463970397684
out,oracle,0.08,0.92,0.017526183400554948
out,oracle,0.1,0.9,0.016187888569842653
out,oracle,0.12,0.88,0.015016464930619706
out,oracle,0.14,0.86,0.013973342640147924
out,oracle,0.16,0.84,0.01302771328769649
out,oracle,0.18,0.82,0.012161521631822306
out,oracle,0.2,0.8,0.011359005052728873
out,oracle,0.22,0.78,0.010611380271970311
out,oracle,0.24,0.76,0.009916392294171975
out,oracle,0.26,0.74,0.009267962691951816
out,oracle,0.28,0.72,0.008660344512488361
out,oracle,0.3,0.7,0.00808043938945414
out,oracle,0.32,0.68,0.007535031197039722
out,oracle,0.34,0.66,0.00701925151341345
out,oracle,0.36,0.64,0.00653164038482882
out,oracle,0.38,0.62,0.006069978159111895
out,oracle,0.4,0.6,0.005633863678075815
out,oracle,0.42,0.58,0.005219776418131324
out,oracle,0.44,0.56,0.0048251532358926565
out,oracle,0.46,0.54,0.004452038876965732
out,oracle,0.48,0.52,0.0040988260129509345
out,oracle,0.5,0.5,0.0037671964070304905
out,oracle,0.52,0.48,0.003449948790009211
out,oracle,0.54,0.46,0.0031504084403329875
out,oracle,0.56,0.44,0.002866112725254356
out,oracle,0.58,0.42,0.0025957560832562034
out,oracle,0.6,0.4,0.0023398695115633464
out,oracle,0.62,0.38,0.0020996175633672316
out,oracle,0.64,0.36,0.0018745738963921992
out,oracle,0.66,0.34,0.0016632601184088736
out,oracle,0.68,0.32,0.001466488338575398
out,oracle,0.7,0.3,0.0012834325365402705
out,oracle,0.72,0.28,0.0011151387215541523
out,oracle,0.74,0.26,0.0009604983108233466
out,oracle,0.76,0.24,0.0008178299777983477
out,oracle,0.78,0.22,0.0006881178778908304
out,oracle,0.8,0.2,0.0005698837076780711
out,oracle,0.82,0.18,0.000462714686401476
out,oracle,0.84,0.16,0.0003676689102682777
out,oracle,0.86,0.14,0.0002835718852913957
out,oracle,0.88,0.12,0.00021028437927847037
out,oracle,0.9,0.1,0.00014804965772435608
out,oracle,0.92,0.08,9.530200370029974e-05
out,oracle,0.94,0.06,5.3459694727110974e-05
out,oracle,0.96,0.04,2.2528864014813412e-05
out,oracle,0.98,0.02,5.020092506929964e-06
out,oracle,1.0,0.0,0.0
in,epistemic,0.0,1.0,0.007276535013876048
in,epistemic,0.02,0.98,0.006670363621646631
in,epistemic,0.04,0.96,0.006351946956521746
in,epistemic,0.06,0.94,0.006093251470860322
in,epistemic,0.08,0.92,0.005783444146623503
in,epistemic,0.1,0.9,0.005472546896392236
in,epistemic,0.12,0.88,0.005187076313598527
in,epistemic,0.14,0.86,0.0049525563205365455
in,epistemic,0.16,0.84,0.004720429438020355
in,epistemic,0.18,0.82,0.004502675617483813
in,epistemic,0.2,0.8,0.004266768834412581
in,epistemic,0.22,0.78,0.004066839077243294
in,epistemic,0.24,0.76,0.003855008055041628
in,epistemic,0.26,0.74,0.003646240360777059
in,epistemic,0.28,0.72,0.0034704172525439384
in,epistemic,0.3,0.7,0.003312897569380199
in,epistemic,0.32,0.68,0.003144558390379274
in,epistemic,0.34,0.66,0.002944157097594818
in,epistemic,0.36,0.64,0.0027877410545790932
in,epistemic,0.38,0.62,0.002628757719703978
in,epistemic,0.4,0.6,0.002489042701202589
in,epistemic,0.42,0.58,0.0023532691928769634
in,epistemic,0.44,0.56,0.0022237008649398696
in,epistemic,0.46,0.54,0.0021054642553191456
in,epistemic,0.48,0.52,0.0019828637719703965
in,epistemic,0.5,0.5,0.0018575653769657711
in,epistemic,0.52,0.48,0.001754485624421828
in,epistemic,0.54,0.46,0.0016527109088806675
in,epistemic,0.56,0.44,0.0015524428445883429
in,epistemic,0.58,0.42,0.0014598535915818674
in,epistemic,0.6,0.4,0.001353579426456981
in,epistemic,0.62,0.38,0.0012588451086956534
in,epistemic,0.64,0.36,0.0011809575485661422
in,epistemic,0.66,0.34,0.0011087499375578183
in,epistemic,0.68,0.32,0.0010285436586493946
in,epistemic,0.7,0.3,0.0009523835592044355
in,epistemic,0.72,0.28,0.0008686833926919429
in,epistemic,0.74,0.26,0.0007951893246993456
in,epistemic,0.76,0.24,0.00072199352220166
in,epistemic,0.78,0.22,0.0006506820559666946
in,epistemic,0.8,0.2,0.0005781193617021231
in,epistemic,0.82,0.18,0.000511190300647546
in,epistemic,0.84,0.16,0.0004406337904717829
in,epistemic,0.86,0.14,0.0003736403029602175
in,epistemic,0.88,0.12,0.0003164032747456002
in,epistemic,0.9,0.1,0.00025828392923218533
in,epistemic,0.92,0.08,0.00020521148011100093
in,epistemic,0.94,0.06,0.00014263623496762041
in,epistemic,0.96,0.04,9.67776780758569e-05
in,epistemic,0.98,0.02,4.411246299722874e-05
in,epistemic,1.0,0.0,0.0
in,aleatoric,0.0,1.0,0.007276535013876052
in,aleatoric,0.02,0.98,0.006693624993061992
in,aleatoric,0.04,0.96,0.006367296734505099
in,aleatoric,0.06,0.94,0.006042584197502324
in,aleatoric,0.08,0.92,0.005782648799722491
in,aleatoric,0.1,0.9,0.005524569740980584
in,aleatoric,0.12,0.88,0.005231348776595754
in,aleatoric,0.14,0.86,0.004939879366327485
in,aleatoric,0.16,0.84,0.004678019752543949
in,aleatoric,0.18,0.82,0.00445047866096208
in,aleatoric,0.2,0.8,0.004180318566142469
in,aleatoric,0.22,0.78,0.003950338896854771
in,aleatoric,0.24,0.76,0.003744708295559675
in,aleatoric,0.26,0.74,0.003532869821924151
in,aleatoric,0.28,0.72,0.0033359655966697537
in,aleatoric,0.3,0.7,0.003166538138297873
in,aleatoric,0.32,0.68,0.0029700835777058273
in,aleatoric,0.34,0.66,0.0028156972617946353
in,aleatoric,0.36,0.64,0.0026402472571692872
in,aleatoric,0.38,0.62,0.002476920159574468
in,aleatoric,0.4,0.6,0.002335073582331175
in,aleatoric,0.42,0.58,0.002207064352451433
in,aleatoric,0.44,0.56,0.002062453554579094
in,aleatoric,0.46,0.54,0.0019481590980573562
in,aleatoric,0.48,0.52,0.0018393389546715985
in,aleatoric,0.5,0.5,0.0017518444172062893
in,aleatoric,0.52,0.48,0.0016333023959296904
in,aleatoric,0.54,0.46,0.001528210746993516
in,aleatoric,0.56,0.44,0.0014205159042553098
in,aleatoric,0.58,0.42,0.0013198395397779753
in,aleatoric,0.6,0.4,0.0012232154995374576
in,aleatoric,0.62,0.38,0.0011390075393154396
in,aleatoric,0.64,0.36,0.0010549474421831585
in,aleatoric,0.66,0.34,0.0009859384088806613
in,aleatoric,0.68,0.32,0.000906854828862162
in,aleatoric,0.7,0.3,0.0008324822687326555
in,aleatoric,0.72,0.28,0.0007644055134135058
in,aleatoric,0.74,0.26,0.0006915544380203498
in,aleatoric,0.76,0.24,0.0006112297733579996
in,aleatoric,0.78,0.22,0.0005430191443108208
in,aleatoric,0.8,0.2,0.0004831284690101707
in,aleatoric,0.82,0.18,0.00042569989130434346
in,aleatoric,0.84,0.16,0.00037248612627196906
in,aleatoric,0.86,0.14,0.00031920238205365557
in,aleatoric,0.88,0.12,0.00026716655180388795
in,aleatoric,0.9,0.1,0.00021092774976873448
