sigma,expected_aleatoric,aleatoric,ratio,recovered,rmse_vs_clean,epistemic,total
0.005,0.011610261315991244,0.012408237904310226,1.0687302866490955,True,0.013010577544637,0.008414438925683498,0.015174224972724915
0.02,0.022578710499618942,0.024698859080672264,1.0939003394852467,True,0.015678001637445472,0.012666587717831135,0.02799595333635807
0.05,0.051086183727360214,0.0481841042637825,0.9431924788301725,True,0.021637473604299094,0.022469643503427505,0.054002296179533005
