axis,cut,target,n_fit,n_oor,rmse_in,rmse_out,ratio,d_max,min_bin,delta,fit_seconds
aspect_ratio,tail_low,edge_rot_transform,17293,5405,0.01378634788365768,0.04156720368051644,3.015098997305164,2.133974850387236,276,0.058989068012026906,77.1
aspect_ratio,tail_high,edge_rot_transform,17293,5405,0.015211834489671922,0.01736013143786526,1.1412253696062709,1.351942016066366,196,0.06999999999999999,31.1
aspect_ratio,hole,edge_rot_transform,17294,5404,0.014756805827820555,0.014064520114088463,0.9530870215540177,0.20115046582236573,641,0.03870767277113485,46.9
max_elongation,tail_low,edge_rot_transform,17293,5405,0.014313841858519784,0.027271085818249524,1.905224752921063,2.275441059667331,12,0.2829016319029166,67.9
max_elongation,tail_high,edge_rot_transform,17293,5405,0.014432366182853243,0.018240388790206914,1.2638529648643404,37.22509214363102,0,inf,43.1
max_elongation,hole,edge_rot_transform,17294,5404,0.015281427408427724,0.013912885552571865,0.9104441084410015,0.2600299588380893,608,0.039744248177036826,31.0
aspect_ratio,tail_low,log10_qi,17293,5405,0.14343669162940823,0.21975843517276683,1.5320935855140059,2.129355270003397,276,0.058989068012026906,115.1
aspect_ratio,tail_high,log10_qi,17293,5405,0.14282601264639602,0.2493453162599558,1.7457976431595608,1.3510607183406385,197,0.06982210898815146,81.7
aspect_ratio,hole,log10_qi,17294,5404,0.14841761880245785,0.16515339196004628,1.1127613641333483,0.20102974275490232,641,0.03870767277113485,29.5
max_elongation,tail_low,log10_qi,17293,5405,0.13290869797574537,0.2320798440458211,1.7461599397217298,2.276768858645899,12,0.2829016319029166,36.7
max_elongation,tail_high,log10_qi,17293,5405,0.14925742614676654,0.17981070104093216,1.2047018743584808,37.246966984032994,0,inf,60.6
max_elongation,hole,log10_qi,17294,5404,0.14604074863930888,0.14420011455561532,0.9873964348933902,0.2597499548060087,614,0.039549581301291825,33.9
