window_lo,window_hi,n_hole,n_tail,d_median_hole,d_median_tail,rmse_hole,rmse_tail,premium
0.0,0.1,1344,532,0.048938999999999996,0.048693,0.018497930164905203,0.019691686741284565,1.0645346028305476
0.1,0.2,1272,406,0.15027800000000002,0.150486,0.020243024140044155,0.022879164844742884,1.130224648573332
0.2,0.3,1066,393,0.250823,0.254326,0.02703761122883042,0.029421307577303168,1.088162239197041
0.3,0.4,1129,348,0.34532,0.346459,0.029778480685042033,0.030977578853169693,1.0402672715512304
0.4,0.5,593,277,0.426218,0.447701,0.0312686844861017,0.0420066346414014,1.3434090794600746
0.0,0.4514,5403,1826,0.207343,0.193472,0.024868099878508975,0.02782340109263588,1.1188390439384104
