window_lo,window_hi,n_hole,n_tail,d_median_hole,d_median_tail,rmse_hole,rmse_tail,premium
0.0,0.1,1344,532,0.048938999999999996,0.048693,0.01880644964614112,0.02063370803884034,1.0971612626030218
0.1,0.2,1272,406,0.15027800000000002,0.150486,0.022295437035982642,0.022988561233958142,1.0310881637734604
0.2,0.3,1066,393,0.250823,0.254326,0.028062498245087403,0.03168658605512389,1.1291434489682655
0.3,0.4,1129,348,0.34532,0.346459,0.031210371239634993,0.032748471963154925,1.0492817183015961
0.4,0.5,593,277,0.426218,0.447701,0.03304731631170319,0.04457007216029736,1.3486744805511959
0.0,0.4514,5403,1826,0.207343,0.193472,0.026148567544791907,0.029287324031242113,1.1200355040892236
