label,learning_rate,batch_size,n_fit,epochs,best_val,val_rmse,jitter,fit_seconds
full,0.003,512,21118,81,0.0237918458878994,0.012174338635281048,0.04604216451573892,23.3
full,0.001,512,21118,172,0.02638387307524681,0.012820369015464515,0.03973835746988928,158.8
full,0.0003,512,21118,191,0.03188697248697281,0.01409411921519621,0.03408935664840867,46.8
full,0.003,128,21118,41,0.02352435514330864,0.012105705310610724,0.13055869534428005,24.7
full,0.001,128,21118,75,0.02138029970228672,0.01154085943009321,0.07159097923997779,44.2
full,0.0003,128,21118,210,0.021191177889704704,0.011489702815668267,0.030123276328438576,125.9
smallest_n,0.0003,128,1000,173,0.3254847526550293,0.04500064287304792,0.00983587767630597,6.0
