sigma,n_train,seed,mean_epochs,in_n,in_rmse,in_epistemic,in_aleatoric,in_total,in_coverage,out_n,out_rmse,out_epistemic,out_aleatoric,out_total,out_coverage
0.0,1000,0,51.4,4324,0.03993469844641683,0.014770718173653215,0.04590359507103614,0.048221511356603894,0.9641535615171137,5405,0.06128365927854099,0.021187240322459264,0.05489404361100882,0.05884093112318504,0.8919518963922294
0.0,1000,1,65.3,4324,0.03504097427897745,0.014861451670838181,0.030456021705057925,0.033888523205170946,0.9382516188714154,5405,0.06405088779282106,0.02274090996880325,0.03906977179575546,0.04520615062828987,0.8038852913968547
0.0,1000,2,54.8,4324,0.0367953389907157,0.014622790445641519,0.043064192652176744,0.04547912367690831,0.9544403330249769,5405,0.06489325606496689,0.021236960756096622,0.05393290352631706,0.05796349352736959,0.8601295097132285
0.0,2000,0,54.9,4324,0.030791674339335943,0.013467114730116084,0.028572133265865832,0.031586864013158265,0.9620721554116559,5405,0.05943658277460572,0.018609228725699534,0.036039941247645646,0.040560827871454756,0.7872340425531915
0.0,2000,1,59.9,4324,0.02747603330900131,0.01222220759306149,0.022735923456516167,0.025812876128786705,0.9350138760407031,5405,0.0619793667545005,0.01916488513522747,0.031815599749994934,0.03714196020560196,0.6993524514338575
0.0,2000,2,55.9,4324,0.028786124695963356,0.013302895346712815,0.025325517011398707,0.02860679700236037,0.9426456984273821,5405,0.06344558618311565,0.018443847297595826,0.03206304743378602,0.03698938382850185,0.7483811285846439
0.0,4000,0,55.6,4324,0.021531848607851643,0.01113690014221393,0.020075351101887552,0.022957575375540766,0.9470397779833487,5405,0.053038091125990304,0.018366901629109925,0.03081550147392429,0.035873920964346745,0.7302497687326549
0.0,4000,1,55.2,4324,0.021660885561627125,0.011915563914563533,0.019471749083324122,0.022828264862675307,0.9537465309898242,5405,0.05451614628417141,0.01906494197450078,0.02786149030792119,0.033759956362420636,0.7644773358001851
0.0,4000,2,55.9,4324,0.022307118318046534,0.010585620656116684,0.01976372591549682,0.022420085292952762,0.9410268270120259,5405,0.05831308043739639,0.016194044151850006,0.02755134167207125,0.03195815224446087,0.708418131359852
0.0,8000,0,53.4,4324,0.016054944503599265,0.00993192784330179,0.014667563917262908,0.017713853977213923,0.9530527289546716,5405,0.045371021269488186,0.0171823935453998,0.028748037276155835,0.03349155557145226,0.7777983348751156
0.0,8000,1,54.3,4324,0.01583872181328391,0.009734312353357895,0.01336699350102852,0.01653582027108256,0.946577243293247,5405,0.04536281986017838,0.017805006996811125,0.021506671801585792,0.02792051587512528,0.747641073080481
0.0,8000,2,52.8,4324,0.016727000841850873,0.009853226434110485,0.014901038691014494,0.017864126751292175,0.9528214616096207,5405,0.051261155732863224,0.01689025901839442,0.02586941325012722,0.03089510303753047,0.704717853839038
0.0,16793,0,52.7,4324,0.012349197992842965,0.008690043585973906,0.01130667921599527,0.014260359484964787,0.9655411655874191,5405,0.04355504434252931,0.015661097018582766,0.022157643344101433,0.027133579164852126,0.7668825161887142
0.0,16793,1,51.9,4324,0.012200678387870523,0.008656525241440737,0.010962951042395882,0.013968597819733258,0.9632284921369103,5405,0.04069779173290782,0.015618814252091651,0.023983442185273325,0.028620846556266226,0.8044403330249769
0.0,16793,2,51.4,4324,0.012281084752018358,0.00883369642541813,0.011049772689391042,0.014146790055909925,0.9613783533765032,5405,0.040493303775511615,0.015959486585531465,0.02125856439814696,0.026582546358383873,0.7890841813135985
0.02,1000,0,47.4,4324,0.03731806475272846,0.019221851107158766,0.05287322662497133,0.05625884511529956,0.9775670675300647,5405,0.05991487867463456,0.03150951051282423,0.0628040320773739,0.07026518128383383,0.9356151711378353
0.02,1000,1,50.8,4324,0.03725591802769007,0.01686327006809876,0.04719896787020137,0.050120978129146655,0.9729417206290472,5405,0.06499664707654067,0.025594410978289208,0.05297200384791533,0.05883117423167775,0.8867715078630898
0.02,1000,2,50.3,4324,0.03754209889229436,0.01807806774591592,0.054271785229417516,0.05720352440131199,0.9777983348751156,5405,0.06816008778040447,0.025275792189783996,0.06593337780918433,0.07061215177288742,0.901572617946346
0.02,2000,0,49.9,4324,0.0316917556025303,0.016733657379716438,0.0353680694841583,0.03912691692176476,0.9717853839037928,5405,0.05845391041720646,0.023631053747127817,0.04146250745560271,0.047723853838184935,0.8662349676225717
0.02,2000,1,50.7,4324,0.02850632517961326,0.017691140072660413,0.033928666741562905,0.03826396297813632,0.9754856614246068,5405,0.05686507574231376,0.02366453637276508,0.039841490518170306,0.04633955814027948,0.866049953746531
0.02,2000,2,49.1,4324,0.030592980777091078,0.017710498212584237,0.03646476031785437,0.040538136278636755,0.9724791859389454,5405,0.06682738442149379,0.02364755103101277,0.043150290804103736,0.049205225998744245,0.8445883441258094
0.02,4000,0,49.2,4324,0.023375675919268323,0.01611681949027222,0.030259332995501785,0.03428380235017457,0.9826549491211841,5405,0.05711637659435777,0.02197886981502621,0.03665647281024229,0.042740703281764846,0.8394079555966697
0.02,4000,1,49.3,4324,0.023990165414846578,0.015267564278821593,0.02961697270661034,0.033320618132858824,0.9787234042553191,5405,0.05439282718515884,0.02066524632028196,0.03442305496319319,0.04014970882641358,0.8429232192414431
0.02,4000,2,49.9,4324,0.024300322696538562,0.015993170750188995,0.02953826925255292,0.03359004109702941,0.9791859389454209,5405,0.06217817747789145,0.02134009492930305,0.035326707559767634,0.041271974963446756,0.8259019426456984
0.02,8000,0,48.4,4324,0.018730322715269077,0.014397876926824116,0.026620180359264386,0.030264382740968977,0.9891304347826086,5405,0.051129682221931774,0.021185060852644492,0.03388944391488728,0.03996625092418136,0.8571692876965773
0.02,8000,1,48.4,4324,0.0187955933333491,0.014617399935573724,0.026901588497258096,0.030616398288860296,0.9900555041628122,5405,0.04731439474915147,0.02067144762521661,0.03237433761098245,0.0384110203303077,0.8675300647548566
0.02,8000,2,48.5,4324,0.019210793772667423,0.01440688185794203,0.02593196555771795,0.02966521671800127,0.9856614246068455,5405,0.05442220940296546,0.020777650547832118,0.030354064720813458,0.03678423585410462,0.8288621646623496
0.02,16793,0,47.8,4324,0.01487596904184992,0.013108905892637036,0.023335584704869357,0.02676551750766056,0.9919056429232193,5405,0.044355162406013886,0.020534852778073702,0.027958288996967964,0.03468927936180697,0.8799259944495837
