split,quantity,mean,std,min,max,n_seeds
random,in_rmse,0.012860028605249117,0.000273548314823214,0.012562931789941136,0.013223153648547164,3
random,in_epistemic,0.008951081519789997,0.00017540209859139821,0.00878904402200616,0.009194755521500153,3
random,in_aleatoric,0.011597781945754454,0.0005684516820564406,0.010796974818287158,0.012059315949510879,3
random,in_total,0.01465274621478059,0.0005304129577271895,0.013921995545794926,0.015164782564611895,3
random,in_ratio,1.1395862181949286,0.0393601724805512,1.0881659477313173,1.1837571661291832,3
random,in_coverage,0.9610699969164355,0.0031672276571344687,0.9586031452358927,0.9655411655874191,3
random,in_pit_mean,0.513507350647541,0.007989401759391975,0.5022587744353973,0.520052486520162,3
random,out_rmse,0.013251640867878495,0.0003312244471738525,0.012796272086063149,0.013574424712093967,3
random,out_epistemic,0.008978282832321542,0.00018227821226914995,0.008770703685410797,0.009214440050342766,3
random,out_aleatoric,0.011564780209098603,0.000604443436706366,0.010803751613225603,0.012282421203491763,3
random,out_total,0.014642646231099385,0.000587530833431456,0.013915685112086977,0.015354601135331514,3
random,out_ratio,1.1054375111907482,0.046844130399204625,1.0397078855611563,1.1454627056456395,3
random,out_coverage,0.9593510979521342,0.0030568743383577114,0.9550333086602517,0.9616950407105848,3
random,out_pit_mean,0.5094176834872542,0.007589934248905369,0.4987717622664151,0.5159276250890236,3
random,gap,1.0304238487802773,0.011577198235796837,1.0185737135267139,1.0461329850566852,3
random,auc_total,0.0020889760001516857,6.442894408049075e-05,0.002025946368011763,0.0021774739923109106,3
random,auc_epistemic,0.0021747910490519345,7.453720519067535e-05,0.0020974968666276233,0.00227550986860295,3
hole,in_rmse,0.012776349468202707,0.0006340877004659503,0.012160851504480482,0.01364887496366335,3
hole,in_epistemic,0.008406436729124053,0.00020329570146880796,0.008132297223882519,0.008618535556795677,3
hole,in_aleatoric,0.010822718786148258,0.0005423502297162207,0.01010436066476558,0.011414678568963487,3
hole,in_total,0.013705094335961282,0.0005525239473481028,0.012970441880861465,0.014302938233661553,3
hole,in_ratio,1.0754408051187314,0.07176804620634909,1.0141424058914283,1.1761461134848865,3
hole,in_coverage,0.958294788775825,0.007444589673455366,0.9500462534690102,0.9680851063829787,3
hole,in_pit_mean,0.49602305416702436,0.0072110806528191095,0.48956831665671824,0.5060879516443825,3
hole,out_rmse,0.024232920830332016,0.00045727550224266124,0.023734872247958772,0.024839173388350812,3
hole,out_epistemic,0.011859773762772856,0.00017860792140865855,0.011607569007667407,0.011997949065055429,3
hole,out_aleatoric,0.012925310517131139,0.000588708885227787,0.01209354552612987,0.013372696617627211,3
hole,out_total,0.017548231007994592,0.0003949091149127215,0.017018396136694838,0.017966073492043357,3
hole,out_ratio,0.7246407190286268,0.027930086738370927,0.6851434172393274,0.7447164499488527,3
hole,out_coverage,0.8778065630397237,0.004672439394129234,0.8712065136935603,0.8813841598815693,3
hole,out_pit_mean,0.5337480470445323,0.0018471616848510584,0.5314231436885811,0.5359420643889043,3
hole,gap,1.9022768033834219,0.11548119339018462,1.7389618053610145,1.984066989762698,3
hole,auc_total,0.003465294897722631,8.342938544261508e-05,0.003351407008353293,0.0035489381874226136,3
hole,auc_epistemic,0.003544467616737461,6.017500278788991e-05,0.0034601148274597104,0.0035963908901886195,3
tail,in_rmse,0.012194825155862484,6.236792215281207e-05,0.01210767111830499,0.0122501395880513,3
tail,in_epistemic,0.008533378026309525,0.0002742084852523821,0.00833756700025424,0.008921161050767411,3
tail,in_aleatoric,0.010849476103877159,0.0003788481660612598,0.010315737510841066,0.011156733952236769,3
tail,in_total,0.013805384856403884,0.00039967172925321775,0.013266253987500339,0.014221952557480587,3
tail,in_ratio,1.1321098933792577,0.033574265646333916,1.0850263948976133,1.1609624898766524,3
tail,in_coverage,0.9593740363860622,0.0021885707009833815,0.956290471785384,0.9611470860314524,3
tail,in_pit_mean,0.5073382971729344,0.002243620804437842,0.5050363140572747,0.5103804277453723,3
tail,out_rmse,0.040481585921321984,0.0013512555022680691,0.03943598341832372,0.04238962134180029,3
tail,out_epistemic,0.015051223358032694,0.00046681365576516787,0.014569284312573118,0.015682927510862497,3
tail,out_aleatoric,0.022898892735889746,0.0007255115032270595,0.021892680762975528,0.023575790296208297,3
tail,out_total,0.027404863745201666,0.0007850716439942368,0.026297405130890898,0.02802684107428716,3
tail,out_ratio,0.6773859909401887,0.021129840892832947,0.6611722442221952,0.7072308742646405,3
tail,out_coverage,0.7880357693493679,0.01716833956289146,0.7728029602220167,0.8120259019426457,3
tail,out_pit_mean,0.3531910976828058,0.011551285128081377,0.3420786113629382,0.36911714161268777,3
tail,gap,3.319278106988015,0.09997751530786013,3.240389245762922,3.4603378220397447,3
tail,auc_total,0.006469134326668971,0.00018019703031820324,0.006280121680799723,0.006711668077397834,3
tail,auc_epistemic,0.006771117434132025,0.00025758855956791354,0.006522146630967004,0.007125902539164045,3
