region,ranking,deferred,saved,score
out,total,0.24,0.76,0.010460495309820291
out,total,0.26,0.74,0.009967660272940234
out,total,0.28,0.72,0.009436233898085655
out,total,0.3,0.7,0.008920660016647293
out,total,0.32,0.68,0.008402254891797887
out,total,0.34,0.66,0.007979426124197326
out,total,0.36,0.64,0.007560439367299417
out,total,0.38,0.62,0.007196059876946069
out,total,0.4,0.6,0.0067696496866765585
out,total,0.42,0.58,0.0064241676451450855
out,total,0.44,0.56,0.006073776443430181
out,total,0.46,0.54,0.005696609392320223
out,total,0.48,0.52,0.005317215503212411
out,total,0.5,0.5,0.004968248306064933
out,total,0.52,0.48,0.004612688074013578
out,total,0.54,0.46,0.004312001752719253
out,total,0.56,0.44,0.004067882250137792
out,total,0.58,0.42,0.0038321805138960855
out,total,0.6,0.4,0.0035907302908724623
out,total,0.62,0.38,0.003280014511895985
out,total,0.64,0.36,0.003024921773755679
out,total,0.66,0.34,0.0028046103461822863
out,total,0.68,0.32,0.002574795742103149
out,total,0.7,0.3,0.00235313117795159
out,total,0.72,0.28,0.002168262487191436
out,total,0.74,0.26,0.00195349681632644
out,total,0.76,0.24,0.0017657416398260176
out,total,0.78,0.22,0.0015856831067435912
out,total,0.8,0.2,0.001398734794678587
out,total,0.82,0.18,0.001218149405297719
out,total,0.84,0.16,0.0010636004498248862
out,total,0.86,0.14,0.0008971808048847481
out,total,0.88,0.12,0.0007490096815435564
out,total,0.9,0.1,0.0006077725664953557
out,total,0.92,0.08,0.0004803354568072297
out,total,0.94,0.06,0.00035397064515091446
out,total,0.96,0.04,0.00023214272486191546
out,total,0.98,0.02,0.00010587991686159276
out,total,1.0,0.0,0.0
out,random,0.0,1.0,0.01947469097374574
out,random,0.02,0.98,0.019086360994756312
out,random,0.04,0.96,0.018700570389846467
out,random,0.06,0.94,0.018310933272077473
out,random,0.08,0.92,0.017914595778853768
out,random,0.1,0.9,0.0175231321381539
out,random,0.12,0.88,0.017139493892490306
out,random,0.14,0.86,0.01674649688505204
out,random,0.16,0.84,0.016364132383488883
out,random,0.18,0.82,0.015968582092877156
out,random,0.2,0.8,0.015564214735993932
out,random,0.22,0.78,0.015168241060789019
out,random,0.24,0.76,0.014775841127887086
out,random,0.26,0.74,0.014384935547138045
out,random,0.28,0.72,0.013985787289250415
out,random,0.3,0.7,0.01358325731614691
out,random,0.32,0.68,0.013194158411719266
out,random,0.34,0.66,0.01280721163396375
out,random,0.36,0.64,0.012430181927214488
out,random,0.38,0.62,0.01204543964458555
out,random,0.4,0.6,0.011661846923243815
out,random,0.42,0.58,0.01127668833719272
out,random,0.44,0.56,0.010896810717835704
out,random,0.46,0.54,0.010510018133031797
out,random,0.48,0.52,0.010128939488780273
out,random,0.5,0.5,0.00973830458864592
out,random,0.52,0.48,0.009343321020050383
out,random,0.54,0.46,0.008955211961975258
out,random,0.56,0.44,0.008574331204249538
out,random,0.58,0.42,0.008186004782456685
out,random,0.6,0.4,0.007794879252259285
out,random,0.62,0.38,0.007413719061077653
out,random,0.64,0.36,0.007017711583783484
out,random,0.66,0.34,0.006636900334237784
out,random,0.68,0.32,0.006242922822015444
out,random,0.7,0.3,0.005853305760053692
out,random,0.72,0.28,0.005465597141227947
out,random,0.74,0.26,0.005065812972854777
out,random,0.76,0.24,0.004670761558630386
out,random,0.78,0.22,0.0042681196636494825
out,random,0.8,0.2,0.003873749355717576
out,random,0.82,0.18,0.003496833074150814
out,random,0.84,0.16,0.0031033230432475647
out,random,0.86,0.14,0.0027197176906318776
out,random,0.88,0.12,0.0023256310213508095
out,random,0.9,0.1,0.0019412658822425522
out,random,0.92,0.08,0.001543920430965318
out,random,0.94,0.06,0.0011667462175007188
out,random,0.96,0.04,0.0007814122750671571
out,random,0.98,0.02,0.0003923361310041912
out,random,1.0,0.0,0.0
out,oracle,0.0,1.0,0.01947469097374573
out,oracle,0.02,0.98,0.017017605411908214
out,oracle,0.04,0.96,0.015169271926260143
out,oracle,0.06,0.94,0.013679104971049162
out,oracle,0.08,0.92,0.012454631705792986
out,oracle,0.1,0.9,0.011443783270109168
out,oracle,0.12,0.88,0.010572075649567296
out,oracle,0.14,0.86,0.00980369861840858
out,oracle,0.16,0.84,0.00910743980600085
out,oracle,0.18,0.82,0.008486757678012121
out,oracle,0.2,0.8,0.007920938727502394
out,oracle,0.22,0.78,0.007404271050473317
out,oracle,0.24,0.76,0.006925459096940058
out,oracle,0.26,0.74,0.006482079650361579
out,oracle,0.28,0.72,0.0060723310971134556
out,oracle,0.3,0.7,0.005685004927315628
out,oracle,0.32,0.68,0.005325959687666606
out,oracle,0.34,0.66,0.004987079588877098
out,oracle,0.36,0.64,0.0046686929253243565
out,oracle,0.38,0.62,0.004367822959256457
out,oracle,0.4,0.6,0.004085285852413254
out,oracle,0.42,0.58,0.0038202545260876226
out,oracle,0.44,0.56,0.00357027511076415
out,oracle,0.46,0.54,0.0033330536736051624
out,oracle,0.48,0.52,0.0031092921072923647
out,oracle,0.5,0.5,0.0028980844354851766
out,oracle,0.52,0.48,0.0026980027342071123
out,oracle,0.54,0.46,0.002509516283458448
out,oracle,0.56,0.44,0.002329846607334049
out,oracle,0.58,0.42,0.002158615374325233
out,oracle,0.6,0.4,0.001995878811520217
out,oracle,0.62,0.38,0.0018411035386592031
out,oracle,0.64,0.36,0.0016946120400168979
out,oracle,0.66,0.34,0.0015555451591331229
out,oracle,0.68,0.32,0.0014232026975913115
out,oracle,0.7,0.3,0.0012961864965400308
out,oracle,0.72,0.28,0.0011771918184457374
out,oracle,0.74,0.26,0.0010649832442666404
out,oracle,0.76,0.24,0.00095798187848394
out,oracle,0.78,0.22,0.0008558188038626541
out,oracle,0.8,0.2,0.0007585953871208764
out,oracle,0.82,0.18,0.0006655476600881926
out,oracle,0.84,0.16,0.0005766684456915211
out,oracle,0.86,0.14,0.0004915833069379481
out,oracle,0.88,0.12,0.000409975440077097
out,oracle,0.9,0.1,0.00033201344104058164
out,oracle,0.92,0.08,0.0002567132182841526
out,oracle,0.94,0.06,0.00018574464461281436
out,oracle,0.96,0.04,0.00011887118474170434
out,oracle,0.98,0.02,5.650349392275636e-05
out,oracle,1.0,0.0,0.0
in,epistemic,0.0,1.0,0.005443035682936378
in,epistemic,0.02,0.98,0.0050035041045755815
in,epistemic,0.04,0.96,0.004766726566668569
in,epistemic,0.06,0.94,0.004575520054744815
in,epistemic,0.08,0.92,0.004354944119768822
in,epistemic,0.1,0.9,0.004135205794823736
in,epistemic,0.12,0.88,0.003926838749658381
in,epistemic,0.14,0.86,0.0037512327043309934
in,epistemic,0.16,0.84,0.0035797355982021975
in,epistemic,0.18,0.82,0.0034234132687341215
in,epistemic,0.2,0.8,0.0032502415229296237
in,epistemic,0.22,0.78,0.00310628550146391
in,epistemic,0.24,0.76,0.002949422016946969
in,epistemic,0.26,0.74,0.0027996455294085833
in,epistemic,0.28,0.72,0.0026688901755195222
in,epistemic,0.3,0.7,0.0025512433277145195
in,epistemic,0.32,0.68,0.0024258785857719793
in,epistemic,0.34,0.66,0.0022760821032230833
in,epistemic,0.36,0.64,0.002161562497156068
in,epistemic,0.38,0.62,0.0020460380995081916
in,epistemic,0.4,0.6,0.0019420513194817251
in,epistemic,0.42,0.58,0.0018418597273552673
in,epistemic,0.44,0.56,0.0017445873755224561
in,epistemic,0.46,0.54,0.001654427856487422
in,epistemic,0.48,0.52,0.001560270753797749
in,epistemic,0.5,0.5,0.0014674858053360163
in,epistemic,0.52,0.48,0.0013893378214878565
in,epistemic,0.54,0.46,0.001310266737776625
in,epistemic,0.56,0.44,0.0012359649448638078
in,epistemic,0.58,0.42,0.0011667671399493765
in,epistemic,0.6,0.4,0.0010856717847812873
in,epistemic,0.62,0.38,0.0010139413215833057
in,epistemic,0.64,0.36,0.0009495698182534607
in,epistemic,0.66,0.34,0.0008877172695812964
in,epistemic,0.68,0.32,0.0008269800408518166
in,epistemic,0.7,0.3,0.0007654344450259214
in,epistemic,0.72,0.28,0.0006998277528911426
in,epistemic,0.74,0.26,0.0006411472722847734
in,epistemic,0.76,0.24,0.0005839382281971224
in,epistemic,0.78,0.22,0.0005272890222685623
in,epistemic,0.8,0.2,0.0004715552171747903
in,epistemic,0.82,0.18,0.0004198401583453536
in,epistemic,0.84,0.16,0.00036749197718107966
in,epistemic,0.86,0.14,0.00031338092172341985
in,epistemic,0.88,0.12,0.0002642949962861974
in,epistemic,0.9,0.1,0.00021704840922532752
in,epistemic,0.92,0.08,0.00017036269650974064
in,epistemic,0.94,0.06,0.00012071102147489442
in,epistemic,0.96,0.04,7.943080661585509e-05
in,epistemic,0.98,0.02,3.67245453586876e-05
in,epistemic,1.0,0.0,0.0
in,aleatoric,0.0,1.0,0.005443035682936377
in,aleatoric,0.02,0.98,0.0050087715963225395
in,aleatoric,0.04,0.96,0.004772697070863017
in,aleatoric,0.06,0.94,0.0045318867479046945
in,aleatoric,0.08,0.92,0.004341289867838768
in,aleatoric,0.1,0.9,0.004154942671470802
in,aleatoric,0.12,0.88,0.00395140960652545
in,aleatoric,0.14,0.86,0.003734999197634742
in,aleatoric,0.16,0.84,0.0035528386239311307
in,aleatoric,0.18,0.82,0.003386335583477157
in,aleatoric,0.2,0.8,0.0031942372631929626
in,aleatoric,0.22,0.78,0.0030249221224651675
in,aleatoric,0.24,0.76,0.002875595698686455
in,aleatoric,0.26,0.74,0.0027258569797124197
in,aleatoric,0.28,0.72,0.0025807105341916427
in,aleatoric,0.3,0.7,0.002458176599462388
in,aleatoric,0.32,0.68,0.002318317960726204
