split,centre,percentiles,n_held_out,rmse_in,rmse_out,ratio,reach,min_bin,delta
tail-low,,0 to 20,5405,0.01378634788365768,0.04156720368051644,3.015098997305164,2.133974850387236,276,0.058989068012026906
hole,0.2,10 to 30,5404,0.014171207368182948,0.02776501384833534,1.9592553497363303,0.6314513624283673,602,0.0399418181510219
hole,0.3,20 to 40,5404,0.014523316247564142,0.026146887536304432,1.8003386479096881,0.45143324812820296,583,0.040587452961566524
hole,0.4,30 to 50,5404,0.014788903297613723,0.016575081011170136,1.120778240117685,0.3128947263798491,586,0.04048342685382935
hole,0.5,40 to 60,5404,0.014756805827820555,0.014064520114088463,0.9530870215540177,0.20115046582236573,641,0.03870767277113485
hole,0.6,50 to 70,5404,0.015260647439372405,0.01376702515032678,0.9021258898104095,0.15826278659932078,616,0.039485325237243636
hole,0.7,60 to 80,5404,0.015517583382850727,0.012395086456514678,0.7987768553068076,0.1363459973587489,645,0.038587462316949726
hole,0.8,70 to 90,5404,0.015665059325548642,0.012831572636605818,0.81912058996664,0.13306614761705704,602,0.0399418181510219
